experiment,type,orig_macro_f1,anon_macro_f1,delta_macro_f1,orig_mcc,anon_mcc,delta_mcc,orig_roc_auc,anon_roc_auc,delta_roc_auc
gossipcop,indomain,0.7979760119940029,0.7801625189036245,-0.017813493090378385,0.5959548314495157,0.5604815690860506,-0.03547326236346504,0.8839724743131503,0.8647310334368505,-0.019241440876299754
kaggle_fakenews,indomain,0.9882984495894562,0.9821667328767172,-0.006131716712739044,0.9766026391658176,0.9643894520912248,-0.012213187074592735,0.9992556556958179,0.998452335546656,-0.0008033201491618458
liar,indomain,0.6172204170960531,0.6040430629108304,-0.0131773541852227,0.2355904680881653,0.208428406397269,-0.0271620616908963,0.6715874479691092,0.6594748761766744,-0.012112571792434745
politifact,indomain,0.7590273016897204,0.7710635830263337,0.012036281336613275,0.5321838464646879,0.5469394350121006,0.014755588547412768,0.8893925991449211,0.8800678166003243,-0.009324782544596788
gossipcop→liar,crossdomain,0.41002940908129176,0.4382566020404503,0.028227192959158542,0.022486459093437324,0.0323964002411808,0.00990994114774348,0.5286342637442556,0.5228608083575024,-0.0057734553867532235
kaggle→gossipcop,crossdomain,0.20238150695304152,0.2038067006597336,0.001425193706692085,0.01192246617519153,-0.03490365144754549,-0.046826117622737015,0.5584049600153456,0.5723792065650173,0.01397424654967172
kaggle→liar,crossdomain,0.3658304509545325,0.3654496292916787,-0.00038082166285380303,0.03685997633785776,0.03196212709967193,-0.004897849238185828,0.5541102122550177,0.5490810520582962,-0.005029160196721505
liar→gossipcop,crossdomain,0.44179129832763364,0.3625474487921111,-0.07924384953552255,-0.004041230573796373,0.041163164911046934,0.045204395484843306,0.5042596980913295,0.5230657044283633,0.018806006337033776
