Experimento,TF-IDF Macro F1,RoBERTa Macro F1,Δ Macro F1,TF-IDF MCC,RoBERTa MCC,Δ MCC,TF-IDF ROC-AUC,RoBERTa ROC-AUC,Δ ROC-AUC,TF-IDF Brier↓,RoBERTa Brier↓,TF-IDF ECE↓,RoBERTa ECE↓
gossipcop,0.2089,0.3909,+0.1819,-0.0205,0.0462,+0.0667,0.5528,0.5228,-0.0300,0.6843,0.5730,0.7039,0.5771
liar,0.4898,0.5701,+0.0803,0.0744,0.1470,+0.0726,0.5639,0.5991,+0.0352,0.3359,0.3879,0.2715,0.3772
politifact,0.4578,0.4706,+0.0128,0.0083,0.2055,+0.1973,0.5357,0.6794,+0.1437,0.3077,0.2533,0.3342,0.3280
