Tipo,Experimento,Original Macro F1,Anon Macro F1,Δ Macro F1,Original MCC,Anon MCC,Δ MCC,Original ROC-AUC,Anon ROC-AUC,Δ ROC-AUC
indomain,gossipcop,0.7980,0.7802,-0.0178,0.5960,0.5605,-0.0355,0.8840,0.8647,-0.0192
indomain,kaggle,0.9883,0.9822,-0.0061,0.9766,0.9644,-0.0122,0.9993,0.9985,-0.0008
indomain,liar,0.6172,0.6040,-0.0132,0.2356,0.2084,-0.0272,0.6716,0.6595,-0.0121
indomain,politifact,0.7590,0.7711,+0.0120,0.5322,0.5469,+0.0148,0.8894,0.8801,-0.0093
crossdomain,gossipcop→liar,0.4100,0.4383,+0.0282,0.0225,0.0324,+0.0099,0.5286,0.5229,-0.0058
crossdomain,kaggle→gossipcop,0.2024,0.2038,+0.0014,0.0119,-0.0349,-0.0468,0.5584,0.5724,+0.0140
crossdomain,kaggle→liar,0.3658,0.3654,-0.0004,0.0369,0.0320,-0.0049,0.5541,0.5491,-0.0050
crossdomain,liar→gossipcop,0.4418,0.3625,-0.0792,-0.0040,0.0412,+0.0452,0.5043,0.5231,+0.0188
