Experimento,TF-IDF Macro F1,RoBERTa Macro F1,Δ Macro F1,TF-IDF MCC,RoBERTa MCC,Δ MCC,TF-IDF ROC-AUC,RoBERTa ROC-AUC,Δ ROC-AUC,TF-IDF Brier↓,RoBERTa Brier↓,TF-IDF ECE↓,RoBERTa ECE↓
kaggle,0.9883,0.9999,+0.0116,0.9766,0.9998,+0.0232,0.9993,0.9999,+0.0006,0.0089,0.0001,0.0048,0.0002
gossipcop,0.7980,0.7958,-0.0022,0.5960,0.5919,-0.0040,0.8840,0.8951,+0.0112,0.1005,0.1023,0.0142,0.0494
