Experimento,TF-IDF Macro F1,RoBERTa Macro F1,Δ Macro F1,TF-IDF MCC,RoBERTa MCC,Δ MCC,TF-IDF ROC-AUC,RoBERTa ROC-AUC,Δ ROC-AUC,TF-IDF Brier↓,RoBERTa Brier↓,TF-IDF ECE↓,RoBERTa ECE↓
gossipcop→liar,0.4100,0.5210,+0.1110,0.0225,0.0735,+0.0510,0.5286,0.5537,+0.0251,0.3217,0.2969,0.2711,0.2179
kaggle→gossipcop,0.2024,0.4618,+0.2594,0.0119,-0.0631,-0.0750,0.5584,0.4593,-0.0991,0.7414,0.4437,0.7444,0.4436
kaggle→liar,0.3658,0.3335,-0.0323,0.0369,0.0045,-0.0324,0.5541,0.5157,-0.0384,0.4778,0.5608,0.4703,0.5609
kaggle→politifact,0.4947,0.3471,-0.1476,0.0209,0.0546,+0.0337,0.5577,0.5350,-0.0227,0.1800,0.6496,0.1576,0.6497
