Tipo,Experimento,TF-IDF Macro F1,TF-IDF MCC,TF-IDF ROC-AUC,TF-IDF Brier↓,TF-IDF ECE↓
indomain,liar,0.6172,0.2356,0.6716,0.2238,0.0236
indomain,politifact,0.7590,0.5322,0.8894,0.0974,0.0542
crossdomain,gossipcop→kaggle,0.5665,0.1443,0.6045,0.2870,0.1897
crossdomain,gossipcop→politifact,0.2709,0.0283,0.4900,0.5618,0.6317
crossdomain,liar→gossipcop,0.4418,-0.0040,0.5043,0.2404,0.2210
crossdomain,liar→kaggle,0.5975,0.1952,0.6361,0.2397,0.0622
lodo,kaggle,0.5563,0.1193,0.5808,0.2831,0.1786
